car-id,car-type,cluster,proj_x,proj_y
20150908060913-42,2P,14,-186197.62,-142016.4
20150908080915-434,3,0,100526.125,-144105.86
20150908080923-414,3,2,51876.758,111050.55
20150908090958-945,1,0,170270.14,-139192.34
20150908120943-943,1,0,98887.79,-132036.23
20150908120959-737,2,4,90784.42,27844.518
20150909040914-244,4,4,166888.4,106260.93
20150909050912-954,1,2,119506.41,156954.66
20150909060913-45,1,6,-148599.27,-98789.96
20150909080919-967,2,3,-178165.3,180528.31
20150909100908-893,1,4,116717.23,53058.164
20150909120927-426,1,0,87463.336,-115672.55
20150910020919-2,3,3,-174245.48,103632.586
20150910020923-287,1,7,-199566.7,-75670.06
20150910040952-485,4,4,60687.355,52328.33
20150910060904-59,2,11,63167.168,-136492.67
20150910070930-658,5,6,-160469.89,-92674.63
20150910080926-255,1,0,92343.21,-127116.09
20150910080953-624,2,3,-189173.45,17246.213
20150910090926-819,1,0,78157.81,-113787.47
20150910100947-726,3,6,-156963.53,-93757.195
20150910120911-462,4,0,99249.06,-126090.414
20150911020927-915,1,4,42308.125,43301.906
20150911040954-143,1,5,78345.664,-90639.27
20150911050916-197,1,3,-194462.31,91084.89
20150911050958-246,5,2,121436.21,153675.08
20150911060914-143,3,4,74363.47,24542.2
20150911060927-249,2,18,47517.723,-103128.54
20150911060943-442,4,2,36975.02,96898.6
20150911060947-468,3,8,15713.27,-93882.23
20150911060951-66,1,3,-194464.06,41972.438
20150911080900-458,3,3,-177190.12,154695.2
20150911080907-406,1,4,199495.53,129456.73
20150911080911-37,2,2,134713.16,79270.88
20150911110911-657,3,0,99451.72,-121457.82
20150912020951-608,2,2,103851.73,86736.664
20150912040902-568,3,3,-173757.27,102929.445
20150912040927-543,1,0,130157.82,-132118.45
20150912060916-518,1,4,74971.01,49718.1
20150912090951-154,2,3,-177106.86,74631.18
20150912100912-409,3,4,195910.61,137616.34
20150913020924-298,1,0,124121.05,-125479.94
20150913020936-245,3,6,-165733.03,-89660.23
20150913040932-624,1,0,121032.836,-115068.6
20150913050914-900,2,-1,51067.133,-113804.74
20150913060926-359,1,15,40424.543,77184.39
20150913060942-503,1,6,-156335.34,-97447.56
20150913060957-927,1,2,34905.105,60165.65
20150913100917-904,4,3,-177476.08,191865.53
20150913100957-928,3,8,28948.936,-95057.95
20150914020923-661,1,5,64733.977,-89812.086
20150914030946-615,1,4,168518.44,50413.33
20150914030948-203,2,2,83367.37,73588.68
20150914040900-949,2,2,118410.21,92490.26
20150914070902-817,2,0,51125.656,-109836.65
20150914080950-53,1,4,91284.33,28450.172
20150914090940-696,1,12,73226.945,151363.84
20150914100951-759,1,4,113982.21,79281.31
20150914110948-268,1,13,78066.734,89341.41
20150915010905-807,2,2,89517.32,145667.19
20150915020918-621,2,7,-202292.86,-77272.266
20150915030916-994,1,4,49126.168,52437.113
20150915030919-207,1,4,156457.5,115400.14
20150915060935-123,1,12,29714.473,86743.37
20150915100950-869,1,4,219726.56,133176.2
20150915110954-381,2P,17,-185470.38,-170015.0
20150916010937-480,1,-1,68252.16,147507.34
20150916010943-697,2,0,107833.305,-127516.99
20150916010956-355,3,4,134385.81,102462.47
20150916020906-378,1,11,115081.52,-126868.45
20150916030932-958,1,2,110553.39,97596.875
20150916030956-470,1,6,-164457.92,-89685.52
20150916090934-622,2,3,-194787.45,100443.16
20150916090953-964,2P,-1,-212590.1,-106425.95
20150916100951-525,1,7,-204088.08,-78003.52
20150917020950-55,3,18,76762.12,-108269.44
20150917030929-874,2P,-1,110565.625,16765.996
20150917040954-744,1,4,145651.2,120128.84
20150917050959-724,1,3,-194314.64,38378.66
20150917070930-301,3,2,41488.46,53691.918
20150917080946-613,1,3,-177439.92,70743.516
20150917090944-991,2,0,83379.78,-118821.54
20150917100917-854,1,2,76553.39,68268.734
20150917110936-396,3,2,73787.36,142828.81
20150918020909-684,2,3,-194201.27,80522.914
20150918030939-609,2P,16,136116.61,45453.426
20150918040902-934,1,4,79283.38,85319.26
20150918040947-803,2,7,-199961.08,-76140.695
20150918040950-592,3,3,-188597.97,28553.91
20150918060923-118,1,3,-191601.03,84890.09
20150918070924-726,1,2,42191.527,56869.562
20150918070927-459,2,9,-128174.04,-125439.15
20150918090900-326,3,0,83429.09,-119426.08
20150918090928-755,2,3,-175325.33,87263.016
20150919040930-907,3,5,89046.81,-87057.71
20150919050912-809,1,0,66749.61,-108009.99
20150919070939-665,2P,-1,-207212.78,-36331.816
20150919070956-883,1,15,49815.785,80826.3
20150919080932-475,1,2,56413.957,65053.08
20150919080957-489,2,2,76094.51,67584.14
20150919120948-627,2,5,-27925.637,-84174.87
20150920030917-854,4,-1,-179486.36,-116499.93
20150920030922-437,6,3,-179884.9,151731.8
20150920050908-75,2,2,32833.02,50061.715
20150920050941-93,2P,-1,-13587.742,-152852.45
20150920070902-234,1,0,65746.85,-109746.836
20150920070942-773,4,0,166552.98,-133018.2
20150920080946-312,2,0,69898.77,-109507.34
20150920090915-26,2,0,68381.6,-126859.19
20150920090936-12,2,4,135346.5,33600.76
20150920090938-107,1,4,102603.2,96285.25
20150920090952-847,1,4,126238.664,30164.402
20150920100910-742,2,3,-194860.67,104161.88
20150920110938-724,2,4,124227.69,33877.695
20150921010943-734,2,12,103079.414,165130.83
20150921020923-489,1,3,-189276.39,21482.953
20150921040914-260,2P,-1,-23395.752,-134940.83
20150921050904-60,4,5,6039.3086,-86141.89
20150921060910-378,1,4,75133.49,85647.24
20150921060955-618,2,5,12333.988,-86597.63
20150921100928-653,5,2,66624.87,118214.31
20150921100948-225,1,12,49945.664,113142.39
20150921110942-470,2,7,-201255.06,-77766.516
20150921120902-568,2,11,77291.08,-120382.08
20150922010936-575,1,2,86975.41,91669.32
20150922020925-369,1,0,117978.914,-115819.195
20150922030934-439,1,12,93887.72,141933.05
20150922040933-573,1,0,121559.195,-115134.97
20150922050928-387,1,3,-179217.47,164574.28
20150922050932-615,1,-1,114459.01,-116209.86
20150922060918-792,3,3,-178865.61,168889.44
20150922070908-757,5,4,192735.77,119624.555
20150922070941-505,3,4,170456.02,29499.115
20150922080925-387,2,3,-194406.95,50540.984
20150922090902-582,3,13,88833.26,79638.664
20150922100951-450,3,4,108340.06,32986.64
20150922110914-684,2,12,84405.53,148423.12
20150922110918-911,2,0,89909.48,-124888.43
20150922110928-182,1,3,-181177.52,136965.95
20150922120927-553,2P,-1,-207322.62,-43908.74
20150923010916-544,3,2,94266.32,79880.805
20150923010936-792,1,2,98531.71,83653.016
20150923010953-577,1,6,-165227.02,-99039.6
20150923010958-595,3,2,78071.48,74388.49
20150923040918-760,2,5,5231.407,-83286.8
20150923050915-668,1,2,124996.586,88513.98
20150923050917-917,6,7,-199771.86,-77261.99
20150923060924-124,4,6,-161394.72,-91577.19
20150923060951-106,4,6,-161503.48,-92111.766
20150923080932-171,4,7,-200903.75,-76587.23
20150923090925-163,3,4,116370.72,28958.867
20150923110937-484,1,-1,55635.926,-86018.94
20150924070923-326,1,3,-180931.36,119873.89
20150924070945-953,1,11,170742.0,-145976.11
20150924080908-529,2,6,-159296.27,-92767.56
20150924100943-359,1,4,120838.086,33396.46
20150924110950-607,4,7,-201778.0,-76390.36
20150924120946-229,1,4,140482.53,40778.38
20150925030910-149,4,6,-151894.86,-97371.39
20150925030923-872,2,3,-189559.62,21429.32
20150925030948-317,1,11,128938.086,-124827.64
20150925030951-84,2,2,104586.69,146160.06
20150925050919-689,3,13,194141.34,133864.6
20150925070901-487,2,2,42667.535,124516.09
20150925080935-194,2,8,35230.145,-91933.945
20150925090921-354,1,3,-189437.9,10678.647
20150925090935-77,1,0,182166.95,-134842.58
20150925110937-663,3,0,90968.14,-125824.84
20150926010953-860,1,5,-15099.1,-82319.67
20150926020900-985,1,2,93687.22,83179.14
20150926030958-715,6,3,-179771.89,152027.84
20150926060947-3,1,3,-193825.06,58745.58
20150926080925-674,6,0,174726.9,-134291.38
20150926090945-943,3,4,152763.69,47206.754
20150926110935-427,1,0,73067.59,-112937.4
20150926110958-805,2,4,186267.08,35133.72
20150927010900-920,2,8,47508.156,-96887.18
20150927080911-300,2,0,78423.6,-123545.195
20150927090926-427,3,18,34324.984,-105998.33
20150928020950-296,1,4,135310.8,42655.15
20150928090928-39,1,5,31230.98,-87791.09
20150929020925-480,2,3,-180165.11,145976.75
20150929030929-812,1,2,140044.47,104203.16
20150929060900-676,1,11,47547.312,-111388.66
20150929060957-709,1,4,73280.47,26859.814
20150929070904-711,2,4,125113.37,84528.72
20150929070937-287,1,6,-147618.45,-99529.53
20150929080924-256,2,4,99128.22,40881.4
20150929080956-555,3,5,117253.555,-88399.125
20150929090919-621,1,0,130744.07,-130454.305
20150929090940-494,1,2,102336.664,135129.14
20150929110918-672,1,4,116676.65,36557.383
20150929120953-961,1,18,52325.31,-106016.41
20150930010911-718,1,4,178642.08,114464.84
20150930030938-661,3,4,154879.58,37770.066
20150930030959-468,3,4,157383.8,47444.543
20150930040930-759,1,3,-189168.1,17573.543
20150930070915-224,2,4,85803.47,74664.47
20150930080915-526,1,3,-177826.06,71466.44
20150930100942-817,2,4,219945.56,133142.02
20150930110907-918,4,3,-194983.44,108195.734
20150930110949-443,1,4,124099.97,36929.824
20150931010941-247,1,12,109248.7,141193.8
20150931070953-531,2,2,44705.21,102682.65
20150931110914-65,1,0,91127.92,-124596.57
20151001011026-433,1,2,95596.24,93095.484
20151001031016-663,1,2,39366.84,67669.91
20151001041004-853,3,9,-109873.984,-139769.56
20151001041055-580,1,13,216476.64,123001.35
20151001051049-770,1,4,178925.36,51406.676
20151001081035-840,2,0,74754.29,-117449.17
20151001081041-702,1,3,-190051.16,10130.107
20151001091013-536,1,2,64621.88,70223.9
20151001091019-787,1,3,-193459.98,60665.6
20151001091034-497,1,-1,87108.586,-130507.53
20151002021015-986,1,2,157691.14,107771.25
20151002041036-991,1,3,-187808.83,30858.646
20151002041052-291,1,8,69799.53,-99107.76
20151002061057-716,2,5,103535.664,-87649.08
20151002071039-91,1,18,98167.13,-102773.54
20151002101014-792,3,3,-177022.67,78800.414
20151002101036-262,5,5,118975.49,-93179.33
20151002111020-73,1,18,47928.49,-105031.555
20151002121039-700,1,2,74625.83,133203.31
20151003011029-293,3,4,129262.33,40891.535
20151003031026-495,2P,16,137099.22,44727.805
20151003041033-690,2,6,-163463.98,-90442.46
20151003071044-386,1,4,89021.99,28349.229
20151003111049-230,1,4,147086.84,37573.23
20151003111052-171,1,3,-193664.81,82140.14
20151003121025-950,1,0,1777.9517,-109279.56
20151004021051-72,1,4,146014.44,116115.31
20151004031053-92,1,3,-173425.98,98453.85
20151004041028-27,1,3,-178098.75,175953.02
20151004051005-26,1,-1,-129122.72,-125342.1
20151004051047-356,1,2,48834.598,52237.82
20151004061009-733,2,2,77939.664,117373.88
20151004061017-700,5,2,127123.84,162466.31
20151004061023-570,5,4,181828.25,120297.805
20151004081041-724,1,3,-176743.61,75368.04
20151004121046-191,3,2,88017.41,81886.36
20151004121057-614,4,5,-21965.904,-82038.03
20151005021037-110,1,2,7824.5195,70949.86
20151005021040-786,2,4,153486.19,109432.0
20151005071024-452,1,3,-193456.52,63044.773
20151005071054-722,4,0,166406.52,-132865.1
20151005081042-478,2,7,-203579.62,-77864.29
20151005091027-858,2,6,-158217.97,-93771.945
20151005111003-947,2P,16,102106.83,31629.55
20151006011003-435,2P,17,-182350.3,-176373.75
20151006031009-616,3,0,27179.916,-113292.48
20151006031044-506,1,4,160618.08,95663.39
20151006031050-832,1,1,-146261.98,-110647.66
20151006061022-397,2,0,158056.77,-131582.86
20151006071004-39,6,7,-203242.84,-77957.15
20151006071021-877,2,4,90647.75,42569.293
20151006101006-578,5,2,67367.61,119262.01
20151006101044-543,2,0,83734.21,-123240.586
20151006101058-57,1,4,108191.69,37354.58
20151007011028-996,1,0,114720.99,-132210.84
20151007011054-189,2,2,91163.48,143985.48
20151007041045-624,1,4,134125.39,38772.637
20151007061036-970,2,3,-193562.56,57329.41
20151007061047-838,2,5,91864.35,-91522.64
20151007071043-113,4,7,-203279.17,-77723.4
20151007081019-529,1,2,55839.098,109404.95
20151007081049-256,5,5,107339.766,-92265.55
20151007121033-369,1,5,61408.73,-85876.0
20151008041030-931,6,5,89191.305,-87210.06
20151008041054-232,2,0,43257.723,-112963.82
20151008051030-28,1,11,94213.24,-140356.9
20151008061014-338,5,5,10972.733,-86558.0
20151008061031-83,1,11,57924.855,-114596.77
20151008061036-397,2,5,20099.99,-84035.1
20151008061041-615,1,3,-194390.64,42218.676
20151008091003-541,1,3,-198258.14,-8877.633
20151008091058-366,1,0,78697.47,-128860.336
20151008101012-0,2P,14,-186337.4,-151521.77
20151008101045-291,3,2,122863.555,149923.36
20151008121044-244,1,13,128140.47,90093.75
20151009011000-445,2,3,-197554.36,-6688.4604
20151009031019-176,2,3,-183997.3,83032.45
20151009031056-749,1,4,51664.625,47929.63
20151009041023-63,1,4,187084.02,56990.008
20151009041046-979,1,2,114499.195,158154.62
20151009051031-939,3,4,50913.38,63813.426
20151009061018-73,1,0,55766.68,-108023.27
20151009061043-83,1,3,-190033.97,11000.204
20151009091020-539,2,3,-190023.16,5381.6562
20151010011010-902,3,0,114761.68,-118623.98
20151010061031-394,2,3,-183149.77,101185.086
20151010071016-369,2P,14,-187023.53,-145037.45
20151010101051-546,1,3,-194824.73,103528.65
20151011011010-245,5,4,31266.912,43050.28
20151011011032-480,2,0,91522.445,-132737.86
20151011051048-783,1,13,171693.33,112956.984
20151011071039-976,3,18,45631.81,-99744.086
20151011071057-298,2,11,45914.758,-114968.89
20151011091000-183,1,3,-194023.36,63408.61
20151011091030-55,4,3,-194616.98,99502.3
20151011101000-955,1,3,-197241.5,-12056.742
20151011101030-397,1,7,-201062.14,-77510.86
20151011101040-543,1,5,37839.91,-88298.69
20151012061013-969,1,3,-193301.88,52413.973
20151012081019-264,3,3,-194877.47,96496.12
20151012091054-963,2,1,-175107.2,-88808.06
20151012101020-600,2,3,-181548.77,131099.45
20151012111048-832,1,3,-194839.06,60769.887
20151012111049-904,3,2,72399.14,71209.77
20151013011052-469,2,4,121471.32,110806.73
20151013031002-411,3,-1,133838.81,-127346.46
20151013041011-524,1,-1,128037.195,-100954.84
20151013051031-833,3,4,61479.957,62011.9
20151013091000-885,2,2,63922.95,63358.184
20151013101006-462,1,4,115420.695,28786.732
20151014031005-384,2,3,-184233.61,83815.27
20151014041044-388,3,2,118323.875,98210.04
20151014091022-504,1,0,76789.86,-127285.5
20151014091036-542,3,5,124149.625,-88713.4
20151014111038-871,2,2,168201.3,151824.2
20151014121052-483,1,0,112564.0,-129737.68
20151015011037-717,1,13,123671.09,98067.36
20151015011055-262,1,13,136247.84,95461.16
20151015031015-762,2,3,-184061.27,83693.89
20151015041055-891,4,0,35669.047,-114684.82
20151015061023-821,1,4,74535.32,42488.09
20151016041029-215,5,5,5392.442,-83216.91
20151016051049-90,3,4,66992.484,36532.766
20151016061047-578,1,0,49818.645,-117725.125
20151016081024-907,4,0,164387.0,-137590.53
20151016091014-990,2,2,72717.64,68214.016
20151016101030-441,1,0,94693.36,-125827.984
20151017051055-952,1,-1,-3542.8508,-84387.0
20151017061038-255,1,0,55724.89,-106574.77
20151017071057-598,1,2,48827.055,58586.117
20151017081005-686,1,0,143959.52,-134660.14
20151017091042-992,1,6,-149408.81,-100929.52
20151017101005-541,1,4,116225.61,44743.652
20151018031004-469,3,13,152573.19,104501.07
20151018041035-645,1,3,-179310.56,167821.0
20151018061010-911,1,3,-194810.02,88784.195
20151018071010-683,2,3,-182587.83,105813.8
20151018071033-244,1,3,-178614.5,176046.7
20151018071045-954,1,4,84977.99,89212.555
20151018081043-314,2,13,94249.95,80286.266
20151018091033-267,1,3,-189893.61,7909.324
20151018101043-303,2,3,-194447.95,57466.86
20151018101055-192,2,0,123179.43,-131188.94
20151018121007-749,3,5,51290.344,-89158.62
20151019011020-645,3,4,136380.02,55323.348
20151019021027-10,2,13,224560.5,130278.38
20151019021032-845,4,3,-194597.36,73549.55
20151019071032-613,1,3,-182602.22,106018.46
20151019081015-655,1,4,93185.54,46263.84
20151019081022-530,3,3,-177093.45,66972.016
20151019101010-336,1,18,48055.703,-101264.72
20151019101012-506,1,2,107202.62,90320.89
20151019111046-645,2,4,188092.7,163988.12
20151019121020-200,1,3,-180936.56,134675.9
20151020021029-947,1,4,191344.44,58454.863
20151020031037-765,2,4,91494.8,87183.6
20151020061037-783,2P,10,65804.55,-43308.04
20151020061044-163,2P,14,-186134.03,-142230.05
20151020081012-980,1,4,154065.1,33738.74
20151020081034-411,3,0,162210.25,-137740.92
20151020081055-387,3,2,143615.48,170174.98
20151020091049-173,1,3,-177268.22,71247.25
20151020101023-490,4,7,-201169.77,-77566.34
20151020101042-117,1,3,-176507.45,79360.67
20151020101057-778,5,0,180329.94,-140416.23
20151020121004-731,1,3,-194749.94,70591.055
20151021011007-107,4,7,-201884.67,-77299.66
20151021011021-123,3,2,141171.36,93654.59
20151021011047-387,1,3,-193899.67,86027.54
20151021021029-879,1,3,-180409.36,147486.61
20151021041005-169,1,15,116383.75,127400.9
20151021041059-868,3,4,58349.355,57266.9
20151021071000-996,3,4,89089.13,74162.625
20151021081021-48,1,2,143872.16,170193.2
20151021081056-343,4,3,-194569.22,50632.188
20151022021027-109,2,3,-198497.11,-3416.495
20151022031032-538,2,18,26290.277,-101666.23
20151022041004-148,1,2,109462.26,100686.73
20151022051010-355,2,7,-202785.5,-77793.36
20151022061016-652,1,2,128829.24,159157.75
20151022071023-682,3,6,-160355.06,-92286.7
20151022081040-716,4,6,-159294.17,-93044.984
20151022091000-636,1,0,67641.086,-113017.46
20151022101006-317,1,4,180426.34,57572.324
20151023011019-241,2P,-1,-84544.984,-27776.305
20151023011043-359,4,6,-166636.11,-88639.77
20151023011047-340,4,0,116776.88,-124862.06
20151023041017-423,1,2,116453.43,89662.83
20151023061021-360,3,7,-200225.7,-76922.38
20151023071017-983,2,2,134549.11,167814.48
20151023091027-655,3,3,-193719.38,70416.914
20151024021019-274,6,2,7047.2827,75290.055
20151024041025-203,1,-1,-177005.95,-95720.875
20151024061054-929,1,5,103170.27,-87863.81
20151024071035-474,2,0,165428.28,-132178.75
20151024091033-928,2,2,56866.24,66419.89
20151024091047-753,2,0,73941.15,-121950.73
20151024111054-335,3,0,115814.64,-141457.1
20151024121023-596,1,3,-175088.14,84376.47
20151025031037-733,1,3,-174652.52,93193.42
20151025051001-380,1,4,54162.773,76087.164
20151025051010-523,2,3,-179260.28,163383.72
20151025051035-258,1,3,-173235.69,109860.89
20151025061010-490,2,-1,60851.434,73610.16
20151025071006-134,3,0,107416.18,-113297.31
20151025091049-824,1,7,-204090.98,-77666.83
20151025101044-367,1,2,72573.77,81516.02
20151025121050-736,4,6,-155050.84,-95228.21
20151025121055-883,4,2,83473.55,126118.945
20151026021048-97,1,7,-201786.83,-78165.0
20151026031053-559,1,11,143508.45,-145393.75
20151026041051-922,1,3,-189911.48,12775.943
20151026051008-681,2,6,-149652.56,-98189.24
20151026051047-171,1,3,-173682.52,97408.49
20151026061007-244,1,6,-167395.78,-97310.64
20151026061040-488,1,4,168272.17,40535.516
20151026081006-92,2,3,-193655.62,64437.59
20151026081044-145,1,3,-194330.88,49690.812
20151026091044-859,2,13,111520.17,114503.984
20151026101017-279,3,2,68640.73,115122.67
20151027031029-195,2P,14,-183799.97,-163059.4
20151027041015-67,2,3,-194188.64,34503.24
20151027041058-551,1,1,-171229.92,-91729.99
20151027111009-160,3,0,91889.414,-124670.69
20151027121014-341,1,0,8442.002,-106764.63
20151027121025-240,1,3,-194501.12,102697.89
20151027121055-218,2,2,87736.99,76919.73
20151028011004-424,2,2,-633.47833,69462.6
20151028011029-820,3,4,133515.0,36232.96
20151028041049-767,1,7,-199574.62,-77219.08
20151028061026-297,3,0,56120.07,-108099.516
20151028071020-362,1,6,-167649.7,-96983.266
20151028071051-431,2,0,50903.39,-109807.85
20151028081039-84,1,3,-193574.3,65726.53
20151028111000-621,2,0,88573.805,-110841.375
20151029011055-228,2,3,-194430.86,23666.582
20151029031046-528,2,3,-174755.9,97004.07
20151029051029-678,3,13,69486.49,85609.6
20151029051055-468,3,0,37723.81,-104280.09
20151029071053-279,1,2,87572.7,66751.18
20151029071056-312,1,-1,-138039.55,-118243.24
20151029081008-399,1,11,89986.05,-138326.73
20151029111009-833,3,4,105230.445,95989.77
20151029111047-98,2,5,138294.7,-89452.55
20151029121011-173,1,2,95638.79,80475.414
20151029121032-170,1,3,-193935.5,74696.85
20151029121058-136,1,13,137017.83,81203.88
20151030021054-842,1,0,26448.193,-110117.1
20151030021055-539,1,5,66487.44,-89811.164
20151030031051-576,3,3,-174463.06,99252.14
20151030051008-262,1,0,39977.562,-108580.305
20151030051034-928,1,7,-200055.36,-76685.05
20151030061038-897,2,3,-174985.94,85057.79
20151030081048-623,5,5,34240.203,-84742.12
20151030091029-116,2,4,101827.11,55694.7
20151030111021-959,1,18,65516.242,-106324.52
20151030111049-10,5,5,137826.62,-89282.63
20151030121037-311,1,0,111824.96,-128801.98
20151031021043-605,2,3,-175402.19,91361.31
20151031031036-320,2,4,49592.22,52916.22
20151031041034-706,2,15,114556.09,129109.234
20151031071048-450,1,2,54247.984,61364.797
20151031081056-17,4,7,-203440.48,-78316.53
20151031101009-945,1,3,-176866.28,78461.59
20151031111040-488,2,4,83311.164,85827.51
20151101011114-329,2,6,-166642.45,-88972.75
20151101021154-37,2,6,-152850.66,-96252.07
20151101031124-24,2,2,108428.68,85435.05
20151101031131-640,5,3,-179825.4,151875.34
20151101051151-134,1,3,-183160.95,136513.94
20151101081109-505,3,4,91349.13,35144.902
20151101081129-848,1,4,92945.555,82389.93
20151101081149-687,1,3,-197034.22,-15677.19
20151101111123-377,1,8,35287.805,-95674.336
20151101121144-520,2,4,124969.625,26820.848
20151102031156-128,2,8,60346.527,-98111.016
20151102051100-481,5,0,50952.906,-114169.48
20151102061112-279,1,6,-158609.22,-96645.95
20151102061116-400,1,2,41586.06,58784.086
20151102071157-979,1,7,-200393.62,-77320.67
20151102091154-662,2,3,-182607.73,117183.41
20151102121127-564,2,4,162433.69,105713.37
20151103011107-462,1,3,-175121.64,92823.37
20151103021143-224,1,3,-175211.27,188077.12
20151103031107-509,1,4,144329.1,29466.945
20151103031148-987,1,2,104606.18,145936.25
20151103041101-253,2,7,-202965.16,-76975.58
20151103051105-693,5,3,-194732.78,85244.06
20151103051148-977,3,3,-193915.08,97926.87
20151103061106-863,1,6,-161368.08,-91893.93
20151103081125-45,2,4,98516.04,28595.76
20151103101135-993,1,3,-181637.2,155126.03
20151104041141-688,3,0,141510.1,-128801.6
20151104081118-17,1,2,45595.215,54689.105
20151104091103-487,2,3,-193118.45,84402.78
20151104091151-104,3,18,74770.22,-106268.55
20151104121100-220,1,4,154729.83,37042.12
20151104121107-641,3,2,82402.96,130112.08
20151104121158-643,2,4,133285.39,32297.61
20151105051129-840,1,2,119788.86,157159.92
20151105061131-878,1,0,146369.8,-134971.47
20151105061149-645,2,7,-202845.77,-78378.07
20151105091109-417,2,0,90063.6,-127601.71
20151105121120-955,3,3,-178704.66,157786.67
20151106031107-912,2,4,160640.17,40576.46
20151106031127-165,1,2,109968.875,87450.85
20151106041146-807,1,2,119261.695,88864.414
20151106041147-812,4,0,132391.78,-131808.7
20151106051111-75,2,6,-162421.27,-90963.43
20151106051115-506,3,4,205604.9,52512.33
20151106061100-410,1,4,98275.15,19213.559
20151106071136-542,2,0,155714.69,-136113.84
20151106071138-520,2,3,-194662.1,50305.508
20151106071155-474,1,11,64445.176,-117835.734
20151106111107-479,1,4,125604.27,41809.453
20151106111125-413,4,6,-143284.64,-101398.875
20151106111153-260,2,7,-204595.05,-78428.31
20151106111158-818,2,0,104475.81,-128286.1
20151106121113-182,2,0,148307.92,-134947.56
20151107021135-737,3,2,102872.9,87946.1
20151107051117-390,4,3,-183260.27,94777.75
20151107061145-484,3,7,-203280.19,-77294.39
20151107091117-166,4,2,61411.723,109738.25
20151107101114-603,2,2,72608.6,69722.1
20151107111143-376,6,7,-201667.16,-76778.445
20151108041144-494,1,0,42486.805,-112729.5
20151108041145-781,1,4,144601.66,128913.56
20151108061114-819,2,3,-189851.19,3711.7039
20151108071107-792,1,4,190384.39,124249.52
20151108071113-261,2,4,171501.44,42270.11
20151108081116-912,2,2,57101.2,71641.72
20151108091145-870,1,7,-201184.33,-76534.52
20151108121153-895,3,2,82240.88,135340.45
20151109041115-191,3,12,103711.25,145262.31
20151109051100-693,3,3,-175737.0,87914.51
20151109061133-119,1,11,47982.68,-111457.0
20151109071101-943,1,3,-193389.66,65432.934
20151109081144-678,3,3,-177274.64,64117.71
20151109091155-536,3,3,-174725.97,93465.516
20151109101115-984,1,4,116597.305,36961.508
20151110011101-322,2P,10,112560.79,-36246.066
20151110011132-270,5,4,34366.617,38980.168
20151110041127-50,1,2,113481.375,90688.03
20151110061107-358,1,3,-178763.6,59595.96
20151110071151-915,6,3,-178510.64,174909.5
20151110091107-217,1,3,-189656.66,6873.974
20151110101156-652,2,2,105749.02,82983.4
20151110111130-676,2,7,-201100.55,-78154.22
20151110121117-357,1,3,-194395.81,65239.523
20151111031143-227,1,3,-194303.34,86342.52
20151111041119-158,1,2,116313.41,154519.48
20151111041149-456,2,3,-194738.3,81261.71
20151111051119-594,1,0,60156.15,-136292.17
20151111051151-921,3,3,-194780.27,85086.97
20151111071117-291,4,0,58000.26,-119192.64
20151112011137-325,1,2,99096.54,82357.19
20151112011152-559,1,4,109229.13,109708.78
20151112031115-285,2,5,-7588.407,-85406.016
20151112031119-409,4,-1,-179355.9,-116637.51
20151112051139-269,3,2,125575.09,101868.04
20151112061143-303,1,5,93797.67,-91545.55
20151112061151-995,6,6,-148441.55,-98359.11
20151112061152-300,4,5,11182.822,-86565.414
20151112091155-964,2,4,107778.72,31918.705
20151112101120-762,1,2,157913.75,185358.17
20151113011105-825,4,2,-972.7104,68864.81
20151113011118-560,2,3,-175852.84,86142.664
20151113011134-396,1,2,59635.977,67037.54
20151113031115-28,1,2,102688.37,88208.17
20151113061129-478,3,4,80498.88,26305.441
20151113061132-529,3,3,-177264.78,155400.39
20151113071127-855,3,3,-177249.73,69943.66
20151113081103-202,1,2,94120.14,83169.37
20151113121156-771,2,18,64594.582,-105384.94
20151114021155-680,4,5,74984.2,-86494.48
20151114021156-85,1,0,116989.52,-119034.05
20151114041158-903,2,5,89519.74,-87072.16
20151114071121-782,2,2,137365.05,149849.9
20151114071159-705,3,3,-188923.38,21576.55
20151114081116-872,2,4,131380.8,39361.82
20151114111101-450,1,11,73770.836,-115394.86
20151114121111-116,2,0,140076.03,-134431.75
20151115011116-242,1,4,137325.75,97164.875
20151115031100-780,1,4,200100.48,49612.68
20151115031111-758,3,0,123548.63,-130349.14
20151115041109-804,1,2,112463.67,86713.56
20151115041148-836,2,-1,-125864.2,-127908.21
20151115121122-695,3,3,-189529.08,13013.825
20151115121128-639,5,4,25780.27,34478.42
20151116021105-602,1,4,136154.78,39267.996
20151116031103-753,1,9,-122082.36,-130722.0
20151116031124-797,3,0,123732.9,-130441.59
20151116031127-78,1,0,137083.56,-133407.89
20151116071131-16,1,3,-194821.95,58636.902
20151116081119-191,1,13,105303.53,54724.117
20151116121132-353,1,4,138801.64,35284.184
20151116121148-838,2,2,91371.23,79884.97
20151117011106-544,1,3,-184884.77,72534.234
20151117021110-932,1,2,7253.8193,75227.69
20151117031145-748,2P,14,-184111.2,-161783.9
20151117051123-614,1,2,129771.61,98734.164
20151117051152-432,4,7,-203067.5,-77202.09
20151117101107-46,2,2,72645.41,83528.8
20151117101156-58,2,3,-188943.44,10280.745
20151117111104-955,1,3,-181312.92,130047.45
20151118021145-170,1,9,-113745.02,-136812.81
